report;sys_time;sim_state;service_state;nr_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;nr_neighbors;cdma_neighbors;rssi_strongest;nstrong;tech;mcc;mnc;mnc_master;lac_tac_sid;long_cid;node_id_nid;cid_bid;psc_pci;nrtac;nrnci;nrpci;nrarfcn;rssi;rsrq;rssi_ev;ecio_ev;rssnr;nrssrsrp;nrssrsrq;nrsssinr;nrcsirsrp;nrcsirsrq;nrcsisinr;slev;ta;gps;accuracy;lat;long;altitude;speed;bearing;band;arfcn;bw;bwlist;thp_rx;thp_tx
95;20240209071435;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;0;0;0;0;0;2147483647;0;LTE;230;3;2147483647;31015;401665;1569;1;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-73;-7;2147483647;2147483647;22;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;0;-1;-1.0;-1.0;-1;-1;-1;-1;2147483647;2147483647;20000;0;0
96;20240209071440;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;0;0;0;0;0;2147483647;0;LTE;230;3;2147483647;31015;401665;1569;1;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-85;-11;2147483647;2147483647;12;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;0;-1;-1.0;-1.0;-1;-1;-1;-1;2147483647;2147483647;20000;0;0
97;20240209071445;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;0;0;0;0;0;2147483647;0;LTE;230;3;2147483647;31015;401665;1569;1;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-76;-9;2147483647;2147483647;6;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;0;-1;-1.0;-1.0;-1;-1;-1;-1;2147483647;2147483647;20000;0;0
98;20240209071450;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;0;0;0;0;0;2147483647;0;LTE;230;3;2147483647;31015;401665;1569;1;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-72;-9;2147483647;2147483647;10;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;0;-1;-1.0;-1.0;-1;-1;-1;-1;2147483647;2147483647;20000;0;0
99;20240209071455;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;0;0;0;0;0;2147483647;0;LTE;230;3;2147483647;31015;401665;1569;1;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-72;-12;2147483647;2147483647;18;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;0;-1;-1.0;-1.0;-1;-1;-1;-1;2147483647;2147483647;20000;0;0
100;20240209071500;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;0;0;0;0;0;2147483647;0;LTE;230;3;2147483647;31015;401666;1569;2;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-76;-9;2147483647;2147483647;11;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;0;-1;-1.0;-1.0;-1;-1;-1;-1;2147483647;2147483647;20000;0;0
101;20240209071505;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;0;0;0;0;0;2147483647;0;LTE;230;3;2147483647;31015;401666;1569;2;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-76;-9;2147483647;2147483647;11;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;0;-1;-1.0;-1.0;-1;-1;-1;-1;2147483647;2147483647;20000;0;0
102;20240209071510;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;0;0;0;0;0;2147483647;0;LTE;230;3;2147483647;31015;401666;1569;2;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-69;-11;2147483647;2147483647;22;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;0;-1;-1.0;-1.0;-1;-1;-1;-1;2147483647;2147483647;20000;0;0
103;20240209071515;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;0;0;0;0;0;2147483647;0;LTE;230;3;2147483647;31015;401666;1569;2;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-69;-11;2147483647;2147483647;22;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;0;-1;-1.0;-1.0;-1;-1;-1;-1;2147483647;2147483647;20000;0;0
104;20240209071520;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;0;0;0;0;0;2147483647;0;LTE;230;3;2147483647;31015;401666;1569;2;2147483647;2147483647;9223372036854775807;2147483647;2147483647;-76;-9;2147483647;2147483647;22;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;0;-1;-1.0;-1.0;-1;-1;-1;-1;2147483647;2147483647;20000;0;0
